   c_city   |   s_city   | d_year |  revenue
------------+------------+--------+-----------
 UNITED ST2 | UNITED ST1 |   1992 | 110456449
 UNITED ST2 | UNITED ST3 |   1992 | 102388061
 UNITED ST0 | UNITED ST3 |   1992 |  91632536
 UNITED ST8 | UNITED ST3 |   1992 |  83998262
 UNITED ST6 | UNITED ST3 |   1992 |  75717409
 UNITED ST4 | UNITED ST3 |   1992 |  74400016
 UNITED ST5 | UNITED ST3 |   1992 |  73439136
 UNITED ST1 | UNITED ST3 |   1992 |  72174894
 UNITED ST4 | UNITED ST1 |   1992 |  71878753
 UNITED ST1 | UNITED ST9 |   1992 |  71134004
 UNITED ST6 | UNITED ST0 |   1992 |  69694345
 UNITED ST9 | UNITED ST3 |   1992 |  66600895
 UNITED ST0 | UNITED ST9 |   1992 |  66421289
 UNITED ST1 | UNITED ST6 |   1992 |  63428777
 UNITED ST6 | UNITED ST7 |   1992 |  62450025
 UNITED ST8 | UNITED ST4 |   1992 |  59875809
 UNITED ST3 | UNITED ST5 |   1992 |  59648579
 UNITED ST0 | UNITED ST8 |   1992 |  59353296
 UNITED ST9 | UNITED ST4 |   1992 |  58209410
 UNITED ST3 | UNITED ST9 |   1992 |  55994940
 UNITED ST0 | UNITED ST7 |   1992 |  54881943
 UNITED ST4 | UNITED ST8 |   1992 |  54719845
 UNITED ST7 | UNITED ST6 |   1992 |  54374833
 UNITED ST3 | UNITED ST3 |   1992 |  54181891
 UNITED ST0 | UNITED ST1 |   1992 |  53495439
 UNITED ST1 | UNITED ST7 |   1992 |  52864511
 UNITED ST8 | UNITED ST0 |   1992 |  52842050
 UNITED ST1 | UNITED ST8 |   1992 |  52121110
 UNITED ST9 | UNITED ST0 |   1992 |  51002116
 UNITED ST6 | UNITED ST1 |   1992 |  49939743
 UNITED ST8 | UNITED ST6 |   1992 |  49258160
 UNITED ST8 | UNITED ST8 |   1992 |  49205868
 UNITED ST8 | UNITED ST1 |   1992 |  48616403
 UNITED ST1 | UNITED ST4 |   1992 |  47698999
 UNITED ST3 | UNITED ST8 |   1992 |  46769556
 UNITED ST2 | UNITED ST8 |   1992 |  45672209
 UNITED ST4 | UNITED ST4 |   1992 |  45367404
 UNITED ST5 | UNITED ST1 |   1992 |  44443856
 UNITED ST1 | UNITED ST1 |   1992 |  44233929
 UNITED ST9 | UNITED ST9 |   1992 |  43966105
 UNITED ST6 | UNITED ST9 |   1992 |  43686520
 UNITED ST8 | UNITED ST5 |   1992 |  43439573
 UNITED ST8 | UNITED ST7 |   1992 |  42990921
 UNITED ST7 | UNITED ST9 |   1992 |  42768688
 UNITED ST1 | UNITED ST5 |   1992 |  41806395
 UNITED ST2 | UNITED ST4 |   1992 |  40713751
 UNITED ST2 | UNITED ST0 |   1992 |  40462227
 UNITED ST3 | UNITED ST6 |   1992 |  40162179
 UNITED ST5 | UNITED ST6 |   1992 |  39986095
 UNITED ST5 | UNITED ST4 |   1992 |  39553417
 UNITED ST6 | UNITED ST6 |   1992 |  39481685
 UNITED ST6 | UNITED ST5 |   1992 |  39362242
 UNITED ST0 | UNITED ST4 |   1992 |  39338200
 UNITED ST4 | UNITED ST9 |   1992 |  39044923
 UNITED ST5 | UNITED ST5 |   1992 |  37855262
 UNITED ST0 | UNITED ST0 |   1992 |  37768126
