   sum    | d_year | p_brand1
-----------+--------+-----------
 600368511 |   1992 | MFGR#2221
 593620573 |   1992 | MFGR#2222
 525210834 |   1992 | MFGR#2223
 486313348 |   1992 | MFGR#2224
 567352736 |   1992 | MFGR#2225
 540521531 |   1992 | MFGR#2226
 687696073 |   1992 | MFGR#2227
 702347389 |   1992 | MFGR#2228
 515860769 |   1993 | MFGR#2221
 594136633 |   1993 | MFGR#2222
 598681081 |   1993 | MFGR#2223
 570702271 |   1993 | MFGR#2224
 532066221 |   1993 | MFGR#2225
 589013600 |   1993 | MFGR#2226
 544317314 |   1993 | MFGR#2227
 583477058 |   1993 | MFGR#2228
 599768701 |   1994 | MFGR#2221
 613677566 |   1994 | MFGR#2222
 583321674 |   1994 | MFGR#2223
 500165989 |   1994 | MFGR#2224
 617357476 |   1994 | MFGR#2225
 654367213 |   1994 | MFGR#2226
 632359307 |   1994 | MFGR#2227
 757843518 |   1994 | MFGR#2228
 519873265 |   1995 | MFGR#2221
 614445702 |   1995 | MFGR#2222
 570897473 |   1995 | MFGR#2223
 590650310 |   1995 | MFGR#2224
 662480470 |   1995 | MFGR#2225
 692036729 |   1995 | MFGR#2226
 562235056 |   1995 | MFGR#2227
 654103983 |   1995 | MFGR#2228
 575962480 |   1996 | MFGR#2221
 566524197 |   1996 | MFGR#2222
 536958696 |   1996 | MFGR#2223
 614735910 |   1996 | MFGR#2224
 491488154 |   1996 | MFGR#2225
 575586234 |   1996 | MFGR#2226
 656213247 |   1996 | MFGR#2227
 493807946 |   1996 | MFGR#2228
 597763798 |   1997 | MFGR#2221
 613945835 |   1997 | MFGR#2222
 620402581 |   1997 | MFGR#2223
 537318254 |   1997 | MFGR#2224
 552726857 |   1997 | MFGR#2225
 618910360 |   1997 | MFGR#2226
 604590306 |   1997 | MFGR#2227
 679988451 |   1997 | MFGR#2228
 340603524 |   1998 | MFGR#2221
 324554535 |   1998 | MFGR#2222
 342416599 |   1998 | MFGR#2223
 312048838 |   1998 | MFGR#2224
 363819947 |   1998 | MFGR#2225
 385174070 |   1998 | MFGR#2226
 334170904 |   1998 | MFGR#2227
 394255634 |   1998 | MFGR#2228
