UNITED KI5 | UNITED KI5 | 1992 | 71271191
UNITED KI1 | UNITED KI5 | 1992 | 64147520
UNITED KI5 | UNITED KI1 | 1992 | 45759794
UNITED KI1 | UNITED KI1 | 1992 | 28384760
UNITED KI5 | UNITED KI5 | 1993 | 103481743
UNITED KI1 | UNITED KI5 | 1993 | 55853217
UNITED KI5 | UNITED KI1 | 1993 | 47694708
UNITED KI1 | UNITED KI1 | 1993 | 9254825
UNITED KI5 | UNITED KI5 | 1994 | 82047375
UNITED KI1 | UNITED KI5 | 1994 | 75880579
UNITED KI5 | UNITED KI1 | 1994 | 48363346
UNITED KI1 | UNITED KI1 | 1994 | 47423108
UNITED KI5 | UNITED KI5 | 1995 | 99114794
UNITED KI1 | UNITED KI5 | 1995 | 52238945
UNITED KI5 | UNITED KI1 | 1995 | 42868328
UNITED KI1 | UNITED KI1 | 1995 | 35639600
UNITED KI5 | UNITED KI5 | 1996 | 60665839
UNITED KI1 | UNITED KI5 | 1996 | 53513509
UNITED KI1 | UNITED KI1 | 1996 | 45072919
UNITED KI5 | UNITED KI1 | 1996 | 34301255
UNITED KI5 | UNITED KI5 | 1997 | 79268321
UNITED KI1 | UNITED KI5 | 1997 | 72804288
UNITED KI5 | UNITED KI1 | 1997 | 53152881
UNITED KI1 | UNITED KI1 | 1997 | 49742625
