 d_year |    c_nation     |   profit
--------+-----------------+------------
1992|ARGENTINA      |33708631881
1992|BRAZIL         |33204238016
1992|CANADA         |34722951030
1992|PERU           |32537288909
1992|UNITED STATES  |33684147883
1993|ARGENTINA      |33874300549
1993|BRAZIL         |31868248299
1993|CANADA         |34861566324
1993|PERU           |32483411624
1993|UNITED STATES  |34044070827
1994|ARGENTINA      |33173463139
1994|BRAZIL         |32650772883
1994|CANADA         |34502808976
1994|PERU           |32966566818
1994|UNITED STATES  |33567407785
1995|ARGENTINA      |33745983224
1995|BRAZIL         |33038947890
1995|CANADA         |34161181855
1995|PERU           |32503828229
1995|UNITED STATES  |33208782096
1996|ARGENTINA      |33117775143
1996|BRAZIL         |34521572565
1996|CANADA         |34578761572
1996|PERU           |33086072375
1996|UNITED STATES  |34154603088
1997|ARGENTINA      |34950746614
1997|BRAZIL         |32950556432
1997|CANADA         |33514191132
1997|PERU           |33037556849
1997|UNITED STATES  |34197485676
1998|ARGENTINA      |19900907441
1998|BRAZIL         |20306854691
1998|CANADA         |19817015586
1998|PERU           |19384171820
1998|UNITED STATES  |19757266466
