   c_city   |   s_city   | d_year |  revenue
------------+------------+--------+-----------
UNITED ST3|UNITED ST6|1992|156396484
UNITED ST0|UNITED ST3|1992|152894052
UNITED ST2|UNITED ST6|1992|152805306
UNITED ST3|UNITED ST4|1992|151930647
UNITED ST2|UNITED ST3|1992|149315498
UNITED ST2|UNITED ST4|1992|133774295
UNITED ST3|UNITED ST7|1992|133050410
UNITED ST1|UNITED ST9|1992|126322398
UNITED ST8|UNITED ST6|1992|124445657
UNITED ST4|UNITED ST4|1992|123653732
UNITED ST8|UNITED ST3|1992|123638213
UNITED ST9|UNITED ST2|1992|123585217
UNITED ST0|UNITED ST6|1992|122341525
UNITED ST1|UNITED ST7|1992|121288355
UNITED ST4|UNITED ST5|1992|119937804
UNITED ST5|UNITED ST5|1992|118739516
UNITED ST2|UNITED ST2|1992|118182492
UNITED ST1|UNITED ST4|1992|116845025
UNITED ST8|UNITED ST9|1992|114224757
UNITED ST4|UNITED ST6|1992|111513051
UNITED ST7|UNITED ST8|1992|111040194
UNITED ST1|UNITED ST2|1992|109522019
UNITED ST8|UNITED ST1|1992|109434655
UNITED ST8|UNITED ST7|1992|109366845
UNITED ST8|UNITED ST4|1992|108011072
UNITED ST3|UNITED ST3|1992|106825383
UNITED ST2|UNITED ST7|1992|105793279
UNITED ST2|UNITED ST5|1992|105378194
UNITED ST3|UNITED ST9|1992|103268295
UNITED ST4|UNITED ST9|1992|102748440
UNITED ST8|UNITED ST5|1992|102132627
UNITED ST8|UNITED ST2|1992|101865261
UNITED ST6|UNITED ST3|1992|101648351
UNITED ST0|UNITED ST7|1992|100773405
UNITED ST7|UNITED ST5|1992|100442100
UNITED ST1|UNITED ST8|1992|99575807
UNITED ST6|UNITED ST4|1992|98916291
UNITED ST5|UNITED ST3|1992|95974110
UNITED ST0|UNITED ST1|1992|95571530
UNITED ST1|UNITED ST1|1992|95380200
UNITED ST6|UNITED ST7|1992|94470709
UNITED ST0|UNITED ST0|1992|93859100
UNITED ST8|UNITED ST0|1992|93664010
UNITED ST5|UNITED ST6|1992|93048372
UNITED ST2|UNITED ST8|1992|92789645
UNITED ST9|UNITED ST7|1992|92219493
UNITED ST7|UNITED ST7|1992|89921065
UNITED ST5|UNITED ST4|1992|89375018
UNITED ST3|UNITED ST1|1992|87146223
UNITED ST3|UNITED ST8|1992|86244057
UNITED ST8|UNITED ST8|1992|86042287
UNITED ST4|UNITED ST3|1992|85647849
UNITED ST0|UNITED ST4|1992|85591496
UNITED ST1|UNITED ST0|1992|85561206
UNITED ST3|UNITED ST5|1992|85515460
UNITED ST3|UNITED ST0|1992|84277423
UNITED ST7|UNITED ST4|1992|84023947
UNITED ST9|UNITED ST0|1992|82442482
UNITED ST0|UNITED ST5|1992|81564245
UNITED ST7|UNITED ST9|1992|81444405
UNITED ST4|UNITED ST2|1992|81231656
UNITED ST5|UNITED ST8|1992|79977256
UNITED ST5|UNITED ST7|1992|79878900
UNITED ST1|UNITED ST5|1992|79655386
UNITED ST3|UNITED ST2|1992|79558008
UNITED ST5|UNITED ST2|1992|78433636
UNITED ST7|UNITED ST3|1992|77944004
UNITED ST5|UNITED ST1|1992|77293575
UNITED ST7|UNITED ST2|1992|74575267
UNITED ST9|UNITED ST8|1992|74305851
UNITED ST1|UNITED ST6|1992|73857040
UNITED ST4|UNITED ST1|1992|73036640
UNITED ST4|UNITED ST0|1992|72455509
UNITED ST4|UNITED ST8|1992|72422449
UNITED ST6|UNITED ST2|1992|72139535
UNITED ST6|UNITED ST5|1992|72044118
UNITED ST7|UNITED ST6|1992|70976572
UNITED ST0|UNITED ST8|1992|70206908
UNITED ST0|UNITED ST2|1992|68929112
UNITED ST9|UNITED ST5|1992|68865041
UNITED ST7|UNITED ST0|1992|65541303
UNITED ST6|UNITED ST8|1992|64463701
UNITED ST9|UNITED ST4|1992|64404720
UNITED ST2|UNITED ST9|1992|64036669
UNITED ST1|UNITED ST3|1992|60298326
UNITED ST6|UNITED ST6|1992|59786067
UNITED ST9|UNITED ST6|1992|59253607
UNITED ST4|UNITED ST7|1992|57905982
UNITED ST9|UNITED ST9|1992|57381056
UNITED ST7|UNITED ST1|1992|57219957
UNITED ST5|UNITED ST9|1992|56412389
UNITED ST2|UNITED ST1|1992|55430051
UNITED ST6|UNITED ST1|1992|51311944
UNITED ST0|UNITED ST9|1992|50910331
UNITED ST5|UNITED ST0|1992|49810008
UNITED ST9|UNITED ST3|1992|48221936
UNITED ST6|UNITED ST9|1992|48189386
UNITED ST2|UNITED ST0|1992|42516375
UNITED ST6|UNITED ST0|1992|29148940
UNITED ST9|UNITED ST1|1992|28617783
UNITED ST0|UNITED ST4|1993|196362851
UNITED ST1|UNITED ST4|1993|181755299
UNITED ST1|UNITED ST7|1993|167287278
UNITED ST1|UNITED ST2|1993|137333895
UNITED ST4|UNITED ST4|1993|137023479
UNITED ST2|UNITED ST7|1993|134112916
UNITED ST2|UNITED ST4|1993|131827480
UNITED ST9|UNITED ST6|1993|131330774
UNITED ST5|UNITED ST6|1993|126517650
UNITED ST5|UNITED ST5|1993|126138622
UNITED ST7|UNITED ST6|1993|125907546
UNITED ST3|UNITED ST4|1993|125756677
UNITED ST6|UNITED ST4|1993|125325415
UNITED ST4|UNITED ST3|1993|123960973
UNITED ST4|UNITED ST6|1993|123347973
UNITED ST5|UNITED ST4|1993|116496444
UNITED ST3|UNITED ST6|1993|116056446
UNITED ST3|UNITED ST7|1993|115231081
UNITED ST1|UNITED ST3|1993|113064085
UNITED ST8|UNITED ST3|1993|111726821
UNITED ST4|UNITED ST1|1993|111705686
UNITED ST1|UNITED ST6|1993|111133712
UNITED ST6|UNITED ST7|1993|110847684
UNITED ST3|UNITED ST2|1993|108274576
UNITED ST9|UNITED ST4|1993|107496356
UNITED ST8|UNITED ST4|1993|107067008
UNITED ST6|UNITED ST2|1993|105928585
UNITED ST0|UNITED ST7|1993|104594431
UNITED ST4|UNITED ST5|1993|103195524
UNITED ST4|UNITED ST9|1993|102612974
UNITED ST8|UNITED ST6|1993|102110860
UNITED ST2|UNITED ST3|1993|101552109
UNITED ST8|UNITED ST5|1993|100278262
UNITED ST8|UNITED ST9|1993|100148774
UNITED ST1|UNITED ST0|1993|96680710
UNITED ST2|UNITED ST9|1993|96334424
UNITED ST0|UNITED ST3|1993|94130570
UNITED ST7|UNITED ST4|1993|93598259
UNITED ST6|UNITED ST3|1993|92044135
UNITED ST0|UNITED ST6|1993|90970491
UNITED ST6|UNITED ST5|1993|90493551
UNITED ST4|UNITED ST7|1993|89557200
UNITED ST9|UNITED ST0|1993|89464148
UNITED ST2|UNITED ST5|1993|89275888
UNITED ST8|UNITED ST1|1993|89247932
UNITED ST3|UNITED ST1|1993|89030139
UNITED ST2|UNITED ST2|1993|88536467
UNITED ST1|UNITED ST8|1993|87820284
UNITED ST9|UNITED ST8|1993|87498854
UNITED ST6|UNITED ST6|1993|87349415
UNITED ST7|UNITED ST1|1993|87194076
UNITED ST7|UNITED ST3|1993|86602419
UNITED ST5|UNITED ST3|1993|86298137
UNITED ST3|UNITED ST3|1993|85639326
UNITED ST2|UNITED ST6|1993|84968579
UNITED ST3|UNITED ST5|1993|84796815
UNITED ST5|UNITED ST7|1993|84658776
UNITED ST9|UNITED ST7|1993|83439600
UNITED ST7|UNITED ST0|1993|82884932
UNITED ST7|UNITED ST2|1993|82808695
UNITED ST8|UNITED ST7|1993|81535353
UNITED ST0|UNITED ST8|1993|81043000
UNITED ST1|UNITED ST5|1993|79567252
UNITED ST8|UNITED ST2|1993|78935133
UNITED ST9|UNITED ST2|1993|78176906
UNITED ST0|UNITED ST5|1993|77112444
UNITED ST0|UNITED ST9|1993|76425911
UNITED ST8|UNITED ST8|1993|75708024
UNITED ST1|UNITED ST9|1993|75641649
UNITED ST4|UNITED ST8|1993|74036753
UNITED ST0|UNITED ST0|1993|71876745
UNITED ST6|UNITED ST9|1993|71488440
UNITED ST5|UNITED ST2|1993|70054646
UNITED ST9|UNITED ST9|1993|69624586
UNITED ST6|UNITED ST8|1993|69064062
UNITED ST9|UNITED ST3|1993|68872912
UNITED ST7|UNITED ST8|1993|68448870
UNITED ST2|UNITED ST8|1993|67999415
UNITED ST5|UNITED ST8|1993|66715182
UNITED ST7|UNITED ST5|1993|65030929
UNITED ST5|UNITED ST1|1993|62371590
UNITED ST8|UNITED ST0|1993|61268206
UNITED ST0|UNITED ST2|1993|61137518
UNITED ST2|UNITED ST1|1993|60813523
UNITED ST1|UNITED ST1|1993|60087182
UNITED ST3|UNITED ST0|1993|59282194
UNITED ST9|UNITED ST1|1993|56345514
UNITED ST5|UNITED ST9|1993|54134111
UNITED ST4|UNITED ST2|1993|53332746
UNITED ST7|UNITED ST7|1993|53320613
UNITED ST6|UNITED ST1|1993|51702599
UNITED ST5|UNITED ST0|1993|50759225
UNITED ST7|UNITED ST9|1993|50628959
UNITED ST3|UNITED ST9|1993|49960411
UNITED ST9|UNITED ST5|1993|46330471
UNITED ST6|UNITED ST0|1993|44558624
UNITED ST3|UNITED ST8|1993|42185205
UNITED ST0|UNITED ST1|1993|36762350
UNITED ST2|UNITED ST0|1993|27399452
UNITED ST4|UNITED ST0|1993|19268797
UNITED ST2|UNITED ST5|1994|161496423
UNITED ST6|UNITED ST3|1994|154636289
UNITED ST0|UNITED ST4|1994|151704802
UNITED ST2|UNITED ST2|1994|149810304
UNITED ST2|UNITED ST7|1994|146020812
UNITED ST2|UNITED ST4|1994|144669197
UNITED ST4|UNITED ST5|1994|139029937
UNITED ST2|UNITED ST3|1994|138948419
UNITED ST2|UNITED ST6|1994|138910503
UNITED ST7|UNITED ST6|1994|138848507
UNITED ST8|UNITED ST4|1994|137381853
UNITED ST0|UNITED ST8|1994|137331018
UNITED ST0|UNITED ST3|1994|131881790
UNITED ST4|UNITED ST4|1994|121913483
UNITED ST6|UNITED ST5|1994|119486727
UNITED ST4|UNITED ST1|1994|119211893
UNITED ST7|UNITED ST4|1994|116421010
