1992 | ARGENTINA | 7906891335
1992 | BRAZIL | 7526259812
1992 | CANADA | 7563950375
1992 | PERU | 7598729641
1992 | UNITED STATES | 7992859470
1993 | ARGENTINA | 7824055937
1993 | BRAZIL | 7302466669
1993 | CANADA | 7815593289
1993 | PERU | 7325506464
1993 | UNITED STATES | 8053857964
1994 | ARGENTINA | 8108266348
1994 | BRAZIL | 7302758131
1994 | CANADA | 8138427962
1994 | PERU | 7993999307
1994 | UNITED STATES | 7818463771
1995 | ARGENTINA | 7640240936
1995 | BRAZIL | 7298422432
1995 | CANADA | 7863883776
1995 | PERU | 7474744633
1995 | UNITED STATES | 7978038708
1996 | ARGENTINA | 7963916034
1996 | BRAZIL | 6953324046
1996 | CANADA | 8017291951
1996 | PERU | 7941172495
1996 | UNITED STATES | 7944898368
1997 | ARGENTINA | 7975650059
1997 | BRAZIL | 7396298341
1997 | CANADA | 8269924150
1997 | PERU | 7276923065
1997 | UNITED STATES | 8205228959
1998 | ARGENTINA | 4638008288
1998 | BRAZIL | 4344454855
1998 | CANADA | 4543842041
1998 | PERU | 4322229933
1998 | UNITED STATES | 4702789583
