1997 | ARGENTINA | MFGR#11 | 653611998
1997 | ARGENTINA | MFGR#12 | 723880620
1997 | ARGENTINA | MFGR#13 | 844120534
1997 | ARGENTINA | MFGR#14 | 753381020
1997 | ARGENTINA | MFGR#15 | 701898354
1997 | ARGENTINA | MFGR#21 | 682678937
1997 | ARGENTINA | MFGR#22 | 801760278
1997 | ARGENTINA | MFGR#23 | 648855234
1997 | ARGENTINA | MFGR#24 | 720839792
1997 | ARGENTINA | MFGR#25 | 716041834
1997 | BRAZIL | MFGR#11 | 954071958
1997 | BRAZIL | MFGR#12 | 775748566
1997 | BRAZIL | MFGR#13 | 745949267
1997 | BRAZIL | MFGR#14 | 878848869
1997 | BRAZIL | MFGR#15 | 938827995
1997 | BRAZIL | MFGR#21 | 860761429
1997 | BRAZIL | MFGR#22 | 786118123
1997 | BRAZIL | MFGR#23 | 943160776
1997 | BRAZIL | MFGR#24 | 889726673
1997 | BRAZIL | MFGR#25 | 850021237
1997 | CANADA | MFGR#11 | 781938439
1997 | CANADA | MFGR#12 | 778112766
1997 | CANADA | MFGR#13 | 633687415
1997 | CANADA | MFGR#14 | 719833726
1997 | CANADA | MFGR#15 | 715453840
1997 | CANADA | MFGR#21 | 707677366
1997 | CANADA | MFGR#22 | 828909589
1997 | CANADA | MFGR#23 | 695155756
1997 | CANADA | MFGR#24 | 745254383
1997 | CANADA | MFGR#25 | 733752928
1997 | PERU | MFGR#11 | 745161534
1997 | PERU | MFGR#12 | 751241225
1997 | PERU | MFGR#13 | 843569001
1997 | PERU | MFGR#14 | 760070308
1997 | PERU | MFGR#15 | 853084254
1997 | PERU | MFGR#21 | 776786282
1997 | PERU | MFGR#22 | 825518568
1997 | PERU | MFGR#23 | 767515935
1997 | PERU | MFGR#24 | 851889690
1997 | PERU | MFGR#25 | 694352409
1997 | UNITED STATES | MFGR#11 | 819800514
1997 | UNITED STATES | MFGR#12 | 785267954
1997 | UNITED STATES | MFGR#13 | 732103690
1997 | UNITED STATES | MFGR#14 | 836552366
1997 | UNITED STATES | MFGR#15 | 858144451
1997 | UNITED STATES | MFGR#21 | 744011871
1997 | UNITED STATES | MFGR#22 | 818838238
1997 | UNITED STATES | MFGR#23 | 793118040
1997 | UNITED STATES | MFGR#24 | 788395115
1997 | UNITED STATES | MFGR#25 | 868523427
1998 | ARGENTINA | MFGR#11 | 407544558
1998 | ARGENTINA | MFGR#12 | 363085607
1998 | ARGENTINA | MFGR#13 | 406787630
1998 | ARGENTINA | MFGR#14 | 500499396
1998 | ARGENTINA | MFGR#15 | 380762738
1998 | ARGENTINA | MFGR#21 | 461340844
1998 | ARGENTINA | MFGR#22 | 390020102
1998 | ARGENTINA | MFGR#23 | 462912915
1998 | ARGENTINA | MFGR#24 | 439824897
1998 | ARGENTINA | MFGR#25 | 420253722
1998 | BRAZIL | MFGR#11 | 441255898
1998 | BRAZIL | MFGR#12 | 496674431
1998 | BRAZIL | MFGR#13 | 527992003
1998 | BRAZIL | MFGR#14 | 515598165
1998 | BRAZIL | MFGR#15 | 513851790
1998 | BRAZIL | MFGR#21 | 556745864
1998 | BRAZIL | MFGR#22 | 516023222
1998 | BRAZIL | MFGR#23 | 601798348
1998 | BRAZIL | MFGR#24 | 504304407
1998 | BRAZIL | MFGR#25 | 413648307
1998 | CANADA | MFGR#11 | 405437250
1998 | CANADA | MFGR#12 | 419420857
1998 | CANADA | MFGR#13 | 365839823
1998 | CANADA | MFGR#14 | 441318625
1998 | CANADA | MFGR#15 | 432373032
1998 | CANADA | MFGR#21 | 524105731
1998 | CANADA | MFGR#22 | 429479444
1998 | CANADA | MFGR#23 | 460530644
1998 | CANADA | MFGR#24 | 445505016
1998 | CANADA | MFGR#25 | 391886638
1998 | PERU | MFGR#11 | 477403736
1998 | PERU | MFGR#12 | 377624884
1998 | PERU | MFGR#13 | 474313331
1998 | PERU | MFGR#14 | 477583267
1998 | PERU | MFGR#15 | 489797425
1998 | PERU | MFGR#21 | 409538130
1998 | PERU | MFGR#22 | 421887836
1998 | PERU | MFGR#23 | 434518374
1998 | PERU | MFGR#24 | 476044507
1998 | PERU | MFGR#25 | 448854944
1998 | UNITED STATES | MFGR#11 | 452708197
1998 | UNITED STATES | MFGR#12 | 423042830
1998 | UNITED STATES | MFGR#13 | 409342985
1998 | UNITED STATES | MFGR#14 | 511990018
1998 | UNITED STATES | MFGR#15 | 447917355
1998 | UNITED STATES | MFGR#21 | 398113618
1998 | UNITED STATES | MFGR#22 | 543817621
1998 | UNITED STATES | MFGR#23 | 373998989
1998 | UNITED STATES | MFGR#24 | 446194902
1998 | UNITED STATES | MFGR#25 | 419809847
